 map_id |    maptype     | book | page | npages |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              trs_paths                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |  recdate   |         surveyors          |                          client                          |                                                                        description                                                                        | note 
  15113 | Unrecorded Map |  100 |  332 |      1 | {3N.1E.1,3N.1E.2,3N.1E.3,3N.1E.4,3N.1E.5,3N.1E.6,3N.1W.1,3N.2E.6,4N.1E.1,4N.1E.10,4N.1E.11,4N.1E.12,4N.1E.13,4N.1E.14,4N.1E.15,4N.1E.16,4N.1E.17,4N.1E.18,4N.1E.19,4N.1E.2,4N.1E.20,4N.1E.21,4N.1E.22,4N.1E.23,4N.1E.24,4N.1E.25,4N.1E.26,4N.1E.27,4N.1E.28,4N.1E.29,4N.1E.3,4N.1E.30,4N.1E.31,4N.1E.32,4N.1E.33,4N.1E.34,4N.1E.35,4N.1E.36,4N.1E.4,4N.1E.5,4N.1E.6,4N.1E.7,4N.1E.8,4N.1E.9,4N.1W.1,4N.1W.12,4N.1W.13,4N.1W.24,4N.1W.25,4N.1W.36,4N.2E.18,4N.2E.19,4N.2E.30,4N.2E.31,4N.2E.6,4N.2E.7,5N.1E.31.M,5N.1E.31.N,5N.1E.31.O,5N.1E.31.P,5N.1E.32,5N.1E.33,5N.1E.34,5N.1E.35,5N.1E.36,5N.1W.36.P,5N.2E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 1868-07-03 | G. PERRIN                  | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 4N,1E   41 SHEETS  | 
  15114 | Unrecorded Map |  100 |  333 |      1 | {3N.1E.1,3N.2E.1,3N.2E.2,3N.2E.3,3N.2E.4,3N.2E.5,3N.2E.6,4N.1E.1,4N.1E.12,4N.1E.13,4N.1E.24,4N.1E.25,4N.1E.36,4N.2E.10,4N.2E.11,4N.2E.13,4N.2E.14,4N.2E.15,4N.2E.16,4N.2E.17,4N.2E.18,4N.2E.19,4N.2E.2,4N.2E.20,4N.2E.21,4N.2E.22,4N.2E.23,4N.2E.24,4N.2E.25,4N.2E.26,4N.2E.27,4N.2E.28,4N.2E.29,4N.2E.3,4N.2E.30,4N.2E.31,4N.2E.32,4N.2E.33,4N.2E.34,4N.2E.35,4N.2E.36,4N.2E.4,4N.2E.5,4N.2E.6,4N.2E.7,4N.2E.8,4N.2E.9,4N.3E.18,4N.3E.19,5N.1E.36,5N.2E.31,5N.2E.32,5N.2E.33,5N.2E.34}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 1881-04-09 | W. MYRICK                  | GLO PLAT & FIELD NOTES                                   | S3,S4,S5,S6,S7,S8,S9,S10,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 4N,2E   17 SHEETS                | 
  15115 | Unrecorded Map |  100 |  334 |      1 | {3N.1E.1,3N.2E.1,3N.2E.2,3N.2E.3,3N.2E.4,3N.2E.5,3N.2E.6,3N.3E.6,4N.1E.1,4N.1E.12,4N.1E.13,4N.1E.24,4N.1E.25,4N.1E.36,4N.2E.1,4N.2E.10,4N.2E.11,4N.2E.12,4N.2E.13,4N.2E.14,4N.2E.15,4N.2E.16,4N.2E.17,4N.2E.18,4N.2E.19,4N.2E.2,4N.2E.20,4N.2E.21,4N.2E.22,4N.2E.23,4N.2E.24,4N.2E.25,4N.2E.26,4N.2E.27,4N.2E.28,4N.2E.29,4N.2E.3,4N.2E.30,4N.2E.31,4N.2E.32,4N.2E.33,4N.2E.34,4N.2E.35,4N.2E.36,4N.2E.4,4N.2E.5,4N.2E.6,4N.2E.7,4N.2E.8,4N.2E.9,4N.3E.18,4N.3E.19,4N.3E.30,4N.3E.31,4N.3E.6,4N.3E.7,5N.1E.36,5N.2E.31,5N.2E.32,5N.2E.33,5N.2E.34,5N.2E.35,5N.2E.36,5N.3E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1882-03-29 | J. HAUGHN                  | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 4N,2E   15 SHEETS  | 
  15116 | Unrecorded Map |  100 |  335 |      1 | {3N.2E.1,3N.3E.1,3N.3E.2,3N.3E.3,3N.3E.4,3N.3E.5,3N.3E.6,3N.4E.6,4N.2E.1,4N.2E.12,4N.2E.13,4N.2E.24,4N.2E.25,4N.2E.36,4N.3E.1,4N.3E.10,4N.3E.11,4N.3E.12,4N.3E.13,4N.3E.14,4N.3E.15,4N.3E.16,4N.3E.17,4N.3E.18,4N.3E.19,4N.3E.2,4N.3E.20,4N.3E.21,4N.3E.22,4N.3E.23,4N.3E.24,4N.3E.25,4N.3E.26,4N.3E.27,4N.3E.28,4N.3E.29,4N.3E.3,4N.3E.30,4N.3E.31,4N.3E.32,4N.3E.33,4N.3E.34,4N.3E.35,4N.3E.36,4N.3E.4,4N.3E.5,4N.3E.6,4N.3E.7,4N.3E.8,4N.3E.9,4N.4E.18,4N.4E.19,4N.4E.30,4N.4E.31,4N.4E.6,4N.4E.7,5N.2E.36,5N.3E.31,5N.3E.32,5N.3E.33,5N.3E.34,5N.3E.35,5N.3E.36,5N.4E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1882-03-29 | J. HAUGHN                  | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 4N,3E   16 SHEETS  | 
  15117 | Unrecorded Map |  100 |  336 |      1 | {3N.3E.1,3N.3E.2,3N.3E.3,3N.3E.4,3N.3E.5,3N.4E.6,4N.2E.1,4N.2E.12,4N.2E.13,4N.2E.24,4N.2E.25,4N.3E.1,4N.3E.10,4N.3E.11,4N.3E.12,4N.3E.13,4N.3E.14,4N.3E.15,4N.3E.16,4N.3E.17,4N.3E.18,4N.3E.19,4N.3E.2,4N.3E.20,4N.3E.21,4N.3E.22,4N.3E.23,4N.3E.24,4N.3E.25,4N.3E.26,4N.3E.27,4N.3E.28,4N.3E.29,4N.3E.3,4N.3E.30,4N.3E.32,4N.3E.33,4N.3E.34,4N.3E.35,4N.3E.36,4N.3E.4,4N.3E.5,4N.3E.6,4N.3E.7,4N.3E.8,4N.3E.9,4N.4E.18,4N.4E.19,4N.4E.30,4N.4E.31,4N.4E.6,4N.4E.7,5N.2E.36,5N.3E.31,5N.3E.32,5N.3E.33,5N.3E.34,5N.3E.35,5N.3E.36,5N.4E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1873-02-12 | F. INGALLS                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S33,S34,S35,S36 4N,3E   50 SHEETS                            | 
  15118 | Unrecorded Map |  100 |  337 |      1 | {3N.3E.1,3N.4E.1,3N.4E.2,3N.4E.3,3N.4E.4,3N.4E.5,3N.4E.6,3N.5E.6,4N.3E.1,4N.3E.12,4N.3E.13,4N.3E.24,4N.3E.25,4N.3E.36,4N.4E.1,4N.4E.10,4N.4E.11,4N.4E.12,4N.4E.13,4N.4E.14,4N.4E.15,4N.4E.16,4N.4E.17,4N.4E.18,4N.4E.19,4N.4E.2,4N.4E.20,4N.4E.21,4N.4E.22,4N.4E.23,4N.4E.24,4N.4E.25,4N.4E.26,4N.4E.27,4N.4E.28,4N.4E.29,4N.4E.3,4N.4E.30,4N.4E.31,4N.4E.32,4N.4E.33,4N.4E.34,4N.4E.35,4N.4E.36,4N.4E.4,4N.4E.5,4N.4E.6,4N.4E.7,4N.4E.8,4N.4E.9,4N.5E.18,4N.5E.19,4N.5E.30,4N.5E.31,4N.5E.6,4N.5E.7,5N.3E.36,5N.4E.31,5N.4E.32,5N.4E.33,5N.4E.34,5N.4E.35,5N.4E.36,5N.5E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1873-02-12 | F. INGALLS                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 4N,4E   50 SHEETS  | 
  15119 | Unrecorded Map |  100 |  338 |      1 | {3N.4E.5,3N.4E.6,4N.3E.12,4N.3E.13,4N.3E.24,4N.3E.25,4N.4E.10,4N.4E.11,4N.4E.14,4N.4E.15,4N.4E.16,4N.4E.17,4N.4E.18,4N.4E.19,4N.4E.20,4N.4E.21,4N.4E.29,4N.4E.30,4N.4E.31,4N.4E.32,4N.4E.4,4N.4E.5,4N.4E.7,4N.4E.8,4N.4E.9}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 2005-06-22 | F. INGALLS                 | BLM PLAT & FIELD NOTES                                   | S17 4N,4E   16 SHEETS                                                                                                                                     | 
  15120 | Unrecorded Map |  100 |  339 |      1 | {3N.4E.1,3N.5E.1,3N.5E.2,3N.5E.3,3N.5E.4,3N.5E.5,3N.5E.6,3N.6E.6,4N.4E.1,4N.4E.12,4N.4E.13,4N.4E.24,4N.4E.25,4N.4E.36,4N.5E.1,4N.5E.10,4N.5E.11,4N.5E.12,4N.5E.13,4N.5E.14,4N.5E.15,4N.5E.16,4N.5E.17,4N.5E.18,4N.5E.19,4N.5E.2,4N.5E.20,4N.5E.21,4N.5E.22,4N.5E.23,4N.5E.24,4N.5E.25,4N.5E.26,4N.5E.27,4N.5E.28,4N.5E.29,4N.5E.3,4N.5E.30,4N.5E.31,4N.5E.32,4N.5E.33,4N.5E.34,4N.5E.35,4N.5E.36,4N.5E.4,4N.5E.5,4N.5E.6,4N.5E.7,4N.5E.8,4N.5E.9,4N.6E.18,4N.6E.19,4N.6E.30,4N.6E.31,4N.6E.6,4N.6E.7,5N.4E.36,5N.5E.31,5N.5E.32,5N.5E.33,5N.5E.34,5N.5E.35,5N.5E.36,5N.6E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1883-09-13 | C. HOLCOMB                 | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 4N,5E              | 
  15121 | Unrecorded Map |  100 |  340 |      1 | {3N.4E.1,3N.5E.1,3N.5E.2,3N.5E.3,3N.5E.4,3N.5E.5,3N.5E.6,3N.6E.6,4N.4E.1,4N.4E.12,4N.4E.13,4N.4E.2,4N.4E.24,4N.4E.25,4N.4E.3,4N.4E.36,4N.5E.1,4N.5E.10,4N.5E.11,4N.5E.12,4N.5E.13,4N.5E.14,4N.5E.15,4N.5E.16,4N.5E.17,4N.5E.18,4N.5E.19,4N.5E.2,4N.5E.20,4N.5E.21,4N.5E.22,4N.5E.23,4N.5E.24,4N.5E.25,4N.5E.26,4N.5E.27,4N.5E.28,4N.5E.29,4N.5E.3,4N.5E.30,4N.5E.31,4N.5E.32,4N.5E.33,4N.5E.34,4N.5E.35,4N.5E.36,4N.5E.4,4N.5E.5,4N.5E.6,4N.5E.7,4N.5E.8,4N.5E.9,4N.6E.18,4N.6E.19,4N.6E.30,4N.6E.31,4N.6E.6,4N.6E.7,5N.4E.25,5N.4E.36,5N.5E.1,5N.5E.12,5N.5E.13,5N.5E.24,5N.5E.25,5N.5E.30,5N.5E.31,5N.5E.32,5N.5E.33,5N.5E.34,5N.5E.35,5N.5E.36,5N.6E.18,5N.6E.19,5N.6E.30,5N.6E.31,5N.6E.32,5N.6E.33,5N.6E.34,5N.6E.35,5N.6E.6,5N.6E.7}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 1981-02-23 | B. CAPELL                  | BLM PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 4N,5E   3 SHEETS   | 
  15128 | Unrecorded Map |  100 |  347 |      1 | {2N.1E.6,2N.1W.1.A,2N.1W.1.B,2N.1W.1.C,2N.1W.1.D,2N.1W.2.A,2N.1W.2.B,2N.1W.2.C,2N.1W.2.D,2N.1W.3,2N.1W.4,2N.1W.5,2N.1W.6,2N.2W.1,3N.1E.18,3N.1E.19,3N.1E.30,3N.1E.31,3N.1E.6,3N.1E.7,3N.1W.1,3N.1W.10,3N.1W.11,3N.1W.12,3N.1W.13,3N.1W.14,3N.1W.15,3N.1W.16,3N.1W.17,3N.1W.18,3N.1W.19,3N.1W.2,3N.1W.20,3N.1W.21,3N.1W.22,3N.1W.23,3N.1W.24,3N.1W.25,3N.1W.26,3N.1W.27,3N.1W.28,3N.1W.29,3N.1W.3,3N.1W.30,3N.1W.31,3N.1W.32,3N.1W.33,3N.1W.34,3N.1W.35.A,3N.1W.35.B,3N.1W.35.C,3N.1W.35.D,3N.1W.35.E,3N.1W.35.H,3N.1W.35.I,3N.1W.35.L,3N.1W.35.M,3N.1W.35.N,3N.1W.35.O,3N.1W.35.P,3N.1W.36,3N.1W.4,3N.1W.5,3N.1W.6,3N.1W.7,3N.1W.8,3N.1W.9,3N.2W.1,3N.2W.12,3N.2W.13,3N.2W.24,3N.2W.25,3N.2W.36,4N.1E.31,4N.1W.31,4N.1W.32,4N.1W.33,4N.1W.34,4N.1W.35,4N.1W.36,4N.2W.36}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 1868-07-06 | G. PERRIN                  | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 3N,1W              | 
  15130 | Unrecorded Map |  100 |  349 |      1 | {2N.1E.1,2N.1E.2,2N.1E.3,2N.1E.4,2N.1E.5,2N.1E.6,2N.1W.1.D,2N.2E.6,3N.1E.1,3N.1E.10,3N.1E.11,3N.1E.12,3N.1E.13,3N.1E.14,3N.1E.15,3N.1E.16,3N.1E.17,3N.1E.18,3N.1E.19,3N.1E.2,3N.1E.20,3N.1E.21,3N.1E.22,3N.1E.23,3N.1E.24,3N.1E.25,3N.1E.26,3N.1E.27,3N.1E.28,3N.1E.29,3N.1E.3,3N.1E.30,3N.1E.31,3N.1E.32,3N.1E.33,3N.1E.34,3N.1E.35,3N.1E.36,3N.1E.4,3N.1E.5,3N.1E.6,3N.1E.7,3N.1E.8,3N.1E.9,3N.1W.1,3N.1W.12,3N.1W.13,3N.1W.24,3N.1W.25,3N.1W.36,3N.2E.18,3N.2E.19,3N.2E.30,3N.2E.31,3N.2E.6,3N.2E.7,4N.1E.31,4N.1E.32,4N.1E.33,4N.1E.34,4N.1E.35,4N.1E.36,4N.1W.36,4N.2E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 1872-12-06 | R. HERRICK                 | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 3N,1E              | 
  15132 | Unrecorded Map |  100 |  351 |      1 | {2N.1E.1,2N.2E.1,2N.2E.2,2N.2E.3,2N.2E.4,2N.2E.5,2N.2E.6,2N.3E.6,3N.1E.1,3N.1E.12,3N.1E.13,3N.1E.24,3N.1E.25,3N.1E.36,3N.2E.1,3N.2E.10,3N.2E.11,3N.2E.12,3N.2E.13,3N.2E.14,3N.2E.15,3N.2E.16,3N.2E.17,3N.2E.18,3N.2E.19,3N.2E.2,3N.2E.20,3N.2E.21,3N.2E.22,3N.2E.23,3N.2E.24,3N.2E.25,3N.2E.26,3N.2E.27,3N.2E.28,3N.2E.29,3N.2E.3,3N.2E.30,3N.2E.31,3N.2E.32,3N.2E.33,3N.2E.34,3N.2E.35,3N.2E.36,3N.2E.4,3N.2E.5,3N.2E.6,3N.2E.7,3N.2E.8,3N.2E.9,3N.3E.18,3N.3E.19,3N.3E.30,3N.3E.31,3N.3E.6,3N.3E.7,4N.1E.36,4N.2E.31,4N.2E.32,4N.2E.33,4N.2E.34,4N.2E.35,4N.2E.36,4N.3E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1876-06-12 | R. HERRICK                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 3N,2E   43 SHEETS  | 
  15135 | Unrecorded Map |  100 |  354 |      1 | {2N.2E.1,2N.3E.1,2N.3E.2,2N.3E.3,2N.3E.4,2N.3E.5,2N.3E.6,2N.4E.6,3N.2E.1,3N.2E.12,3N.2E.13,3N.2E.24,3N.2E.25,3N.2E.36,3N.3E.1,3N.3E.10,3N.3E.11,3N.3E.12,3N.3E.13,3N.3E.14,3N.3E.15,3N.3E.16,3N.3E.17,3N.3E.18,3N.3E.19,3N.3E.2,3N.3E.20,3N.3E.21,3N.3E.22,3N.3E.23,3N.3E.24,3N.3E.25,3N.3E.26,3N.3E.27,3N.3E.28,3N.3E.29,3N.3E.3,3N.3E.30,3N.3E.31,3N.3E.32,3N.3E.33,3N.3E.34,3N.3E.35,3N.3E.36,3N.3E.4,3N.3E.5,3N.3E.6,3N.3E.7,3N.3E.8,3N.3E.9,3N.4E.18,3N.4E.19,3N.4E.30,3N.4E.31,3N.4E.6,3N.4E.7,4N.2E.36,4N.3E.31,4N.3E.32,4N.3E.33,4N.3E.34,4N.3E.35,4N.3E.36,4N.4E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1891-06-24 | A. SMITH                   | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 3N,3E   49 SHEETS  | 
  15137 | Unrecorded Map |  100 |  356 |      1 | {2N.2E.1,2N.3E.1,2N.3E.2,2N.3E.3,2N.3E.4,2N.3E.5,2N.3E.6,2N.4E.6,3N.2E.12,3N.2E.13,3N.2E.24,3N.2E.25,3N.2E.36,3N.3E.1,3N.3E.10,3N.3E.11,3N.3E.12,3N.3E.13,3N.3E.14,3N.3E.15,3N.3E.16,3N.3E.17,3N.3E.18,3N.3E.19,3N.3E.2,3N.3E.20,3N.3E.21,3N.3E.22,3N.3E.23,3N.3E.24,3N.3E.25,3N.3E.26,3N.3E.27,3N.3E.28,3N.3E.29,3N.3E.3,3N.3E.30,3N.3E.31,3N.3E.32,3N.3E.33,3N.3E.34,3N.3E.35,3N.3E.36,3N.3E.4,3N.3E.7,3N.3E.8,3N.3E.9,3N.4E.18,3N.4E.19,3N.4E.30,3N.4E.31,3N.4E.6,3N.4E.7,4N.3E.33,4N.3E.34,4N.3E.35,4N.3E.36,4N.4E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 1880-06-16 | R. HERRICK                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S7,S10,S11,S12,S13,S14,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 3N,3E   9 SHEETS                   | 
  15138 | Unrecorded Map |  100 |  357 |      1 | {2N.3E.1,2N.4E.1,2N.4E.2,2N.4E.3,2N.4E.4,2N.4E.5,2N.4E.6,2N.5E.6,3N.3E.1,3N.3E.12,3N.3E.13,3N.3E.24,3N.3E.25,3N.3E.36,3N.4E.1,3N.4E.10,3N.4E.11,3N.4E.12,3N.4E.13,3N.4E.14,3N.4E.15,3N.4E.16,3N.4E.17,3N.4E.18,3N.4E.19,3N.4E.2,3N.4E.20,3N.4E.21,3N.4E.22,3N.4E.23,3N.4E.24,3N.4E.25,3N.4E.26,3N.4E.27,3N.4E.28,3N.4E.29,3N.4E.3,3N.4E.30,3N.4E.31,3N.4E.32,3N.4E.33,3N.4E.34,3N.4E.35,3N.4E.36,3N.4E.4,3N.4E.5,3N.4E.6,3N.4E.7,3N.4E.8,3N.4E.9,3N.5E.18,3N.5E.19,3N.5E.30,3N.5E.31,3N.5E.6,3N.5E.7,4N.3E.36,4N.4E.31,4N.4E.32,4N.4E.33,4N.4E.34,4N.4E.35,4N.4E.36,4N.5E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1873-02-12 | F. INGALLS                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 3N,4E   35 SHEETS  | 
  15139 | Unrecorded Map |  100 |  358 |      1 | {2N.4E.1,2N.5E.1,2N.5E.2,2N.5E.3,2N.5E.4,2N.5E.5,2N.5E.6,2N.6E.6,3N.4E.1,3N.4E.12,3N.4E.13,3N.4E.24,3N.4E.25,3N.4E.36,3N.5E.1,3N.5E.10,3N.5E.11,3N.5E.12,3N.5E.13,3N.5E.14,3N.5E.15,3N.5E.16,3N.5E.17,3N.5E.18,3N.5E.19,3N.5E.2,3N.5E.20,3N.5E.21,3N.5E.22,3N.5E.23,3N.5E.24,3N.5E.25,3N.5E.26,3N.5E.27,3N.5E.28,3N.5E.29,3N.5E.3,3N.5E.30,3N.5E.31,3N.5E.32,3N.5E.33,3N.5E.34,3N.5E.35,3N.5E.36,3N.5E.4,3N.5E.5,3N.5E.6,3N.5E.7,3N.5E.8,3N.5E.9,3N.6E.18,3N.6E.19,3N.6E.30,3N.6E.31,3N.6E.6,3N.6E.7,4N.4E.36,4N.5E.31,4N.5E.32,4N.5E.33,4N.5E.34,4N.5E.35,4N.5E.36,4N.6E.31}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 1873-02-12 | F. INGALLS                 | GLO PLAT & FIELD NOTES                                   | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 3N,5E   35 SHEETS  | 
  15144 | Unrecorded Map |  100 |  363 |      1 | {2N.2W.18,2N.2W.7,2N.3W.12,2N.3W.13}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 2012-11-30 | D. LIPIEC                  | BLM PLAT & FIELD NOTES                                   | S7 2N,2W + S12 2N,3W   21 SHEETS                                                                                                                          | 
  15145 | Unrecorded Map |  100 |  364 |      1 | {1N.1W.6,1N.2W.1,1N.2W.2,1N.2W.3,1N.2W.4,1N.2W.5,1N.2W.6,1N.3W.1,2N.1W.18,2N.1W.19,2N.1W.30,2N.1W.31,2N.1W.6,2N.1W.7,2N.2W.1,2N.2W.10,2N.2W.11.A,2N.2W.11.B,2N.2W.11.C,2N.2W.11.D,2N.2W.11.E,2N.2W.11.H,2N.2W.11.I,2N.2W.11.L,2N.2W.11.M,2N.2W.11.N,2N.2W.11.O,2N.2W.11.P,2N.2W.12,2N.2W.13,2N.2W.14,2N.2W.15,2N.2W.16,2N.2W.17,2N.2W.18,2N.2W.19,2N.2W.2.A,2N.2W.2.B,2N.2W.2.C,2N.2W.2.D,2N.2W.2.E,2N.2W.2.F,2N.2W.2.G,2N.2W.2.H,2N.2W.2.I,2N.2W.2.L,2N.2W.2.M,2N.2W.2.N,2N.2W.2.O,2N.2W.2.P,2N.2W.20,2N.2W.21,2N.2W.22,2N.2W.23,2N.2W.24,2N.2W.25,2N.2W.26,2N.2W.27,2N.2W.28,2N.2W.29,2N.2W.3,2N.2W.30,2N.2W.31,2N.2W.32,2N.2W.33,2N.2W.34,2N.2W.35,2N.2W.36,2N.2W.4,2N.2W.5,2N.2W.6,2N.2W.7,2N.2W.8,2N.2W.9,2N.3W.12,2N.3W.13,2N.3W.24,2N.3W.25,2N.3W.36,3N.1W.31,3N.2W.31,3N.2W.32,3N.2W.33,3N.2W.34,3N.2W.35,3N.2W.36}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 1876-01-17 | R. HERRICK                 | GLO PLAT                                                 | S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36 2N,2W              | 
